designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_visibility_periods_used,rv_chisq_pvalue,rv_time_duration,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 661249419683649152,661249419683649152,130.53271057096404,19.63879508817662,,,,,20.764217,21.11638,19.528059,1.5883217,0.3521633,1.2361584,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661249488400595456,661249488400595456,130.5732487992372,19.65808280813392,0.24500906138957312,-0.8689658507720428,0.48747376878894133,1.1203755,20.765146,21.074724,20.069183,1.0055408,0.30957794,0.6959629,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661249492696117632,661249492696117632,130.56846238153184,19.655564208378227,0.9749015778985539,3.907402508292444,-16.856225230440216,1.1172819,19.955397,20.965597,18.75089,2.2147064,1.0102005,1.2045059,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661249522760323840,661249522760323840,130.5583376225931,19.649561551502032,1.375812303268333,14.02355591636505,-18.82300969126438,1.010314,18.85425,20.088655,17.78472,2.303936,1.2344055,1.0695305,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3323.575,4.6152,-1.0993,425.4883,0.0168,0.0111,0.0068
Gaia DR3 661249522760326400,661249522760326400,130.54995887387474,19.65127573064501,2.5105273413351847,-26.89504535208401,5.556833846204853,0.9782613,19.002064,20.527216,17.830725,2.6964912,1.5251522,1.171339,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661249527058238464,661249527058238464,130.54405546693354,19.648280221254897,14.383433016283394,-75.9675211164722,-109.42658720185258,1.0648761,14.5960245,16.035809,13.422089,2.61372,1.439784,1.1739359,58.36964,2.0390105,34,13,,967.8826,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,
Gaia DR3 661249591479756800,661249591479756800,130.47068907427035,19.594667187484585,1.3246660024921901,-3.195168510180944,-10.526731533570983,1.0122532,17.934555,18.949884,16.942263,2.0076218,1.0153294,0.9922924,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,3727.7039,4.8059,-0.392,557.1806,0.4064,0.2826,0.1593
Gaia DR3 661249595777725568,661249595777725568,130.4731276997274,19.608426445573304,5.244392493725436,-36.72023740585499,-13.656377710347023,1.0272475,17.608885,19.364973,16.361746,3.0032272,1.7560883,1.247139,,,,,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,3276.2034,4.9429,-0.106,186.5885,0.9668,0.6045,0.4042
Gaia DR3 661249625839507200,661249625839507200,130.48817418398033,19.607824504519442,,,,,21.904312,19.247074,17.715084,1.53199,-2.657238,4.189228,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661249625842033024,661249625842033024,130.49045328621852,19.606539288413927,3.7372339204227645,7.367029354294687,-9.027147950269166,1.0391169,20.776443,21.343739,19.553997,1.7897415,0.5672951,1.2224464,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661249630137463168,661249630137463168,130.4846451991165,19.60453441872865,0.6902726088465136,-11.34265761857074,-16.35689828467609,1.0186073,16.753084,17.115873,16.204721,0.9111519,0.36278915,0.54836273,,,,,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5320.2686,4.6932,-1.2896,1262.3578,0.0096,0.0079,0.0043
Gaia DR3 661249664497202560,661249664497202560,130.45941047586342,19.614548250113057,0.29458004027286866,0.3638527293998435,-2.8212331228871372,1.1151876,15.771467,16.130589,15.242737,0.8878517,0.35912132,0.5287304,,,,,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5753.022,4.1951,-0.1439,1895.2325,0.2249,0.1878,0.1008
Gaia DR3 661249664497202944,661249664497202944,130.46409276664784,19.60556826709598,0.9797054885836237,3.791058917780288,-16.68641923251368,1.0340879,17.086952,17.803648,16.270395,1.5332527,0.7166958,0.81655693,,,,,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4164.5615,4.5318,-0.3474,950.9778,0.003,0.0023,0.0012
Gaia DR3 661249694558990848,661249694558990848,130.4780336456556,19.61681187954452,5.587129867260436,-36.77565086676144,-13.410213504546984,0.97922885,18.81771,20.710608,17.490805,3.2198029,1.8928967,1.3269062,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
